Date,Timestamp,IP,Method,Endpoint,Status
2025-06-01,2025-06-01T02:05:43.211192918Z,157.66.96.46:38561,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:05:50.153032401Z,157.66.96.46:38561,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T02:08:36.854310533Z,157.66.96.46:46766,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:08:45.522650339Z,157.66.96.46:46766,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T02:13:37.335099987Z,157.66.96.46:49024,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:13:42.151553010Z,157.66.96.46:49024,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T02:17:28.582287465Z,157.66.96.46:47317,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:17:31.952598779Z,157.66.96.46:47317,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T02:19:28.979639848Z,157.66.96.46:33972,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:19:32.563590298Z,157.66.96.46:33972,POST,/classify,200
2025-06-01,2025-06-01T02:26:46.434566737Z,157.66.96.46:46955,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:26:57.509394294Z,157.66.96.46:46955,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T02:30:59.186538387Z,157.66.96.46:56570,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:31:08.713860343Z,157.66.96.46:56570,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T02:39:33.822405953Z,157.66.96.46:46361,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T02:39:42.416929654Z,157.66.96.46:46361,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T07:02:29.227494340Z,157.66.96.46:39879,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T07:02:32.632469954Z,157.66.96.46:39879,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T08:54:30.853424262Z,157.66.96.46:39645,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T08:54:34.918412760Z,157.66.96.46:39645,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T13:29:35.408441138Z,157.66.96.46:50141,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T13:29:40.456817284Z,157.66.96.46:50141,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T13:38:36.133178707Z,157.66.96.46:57560,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T13:38:41.248895936Z,157.66.96.46:57560,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T14:06:02.409641230Z,157.66.96.46:47394,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T14:06:13.666629960Z,157.66.96.46:47394,POST,/classify_ngoaitru,200
2025-06-01,2025-06-01T15:19:49.638586235Z,157.66.96.46:54400,POST,/medicine_classify_v2/,200
2025-06-01,2025-06-01T15:19:56.402392910Z,157.66.96.46:54400,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T01:52:28.662049973Z,157.66.96.46:50676,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T01:52:32.184630307Z,157.66.96.46:50676,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T01:59:29.849918794Z,157.66.96.46:48039,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T01:59:34.262561088Z,157.66.96.46:48039,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T02:10:34.097577074Z,157.66.96.46:63747,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T02:10:39.202568742Z,157.66.96.46:63747,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T02:24:45.781947053Z,1.52.198.146:59350,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T03:22:35.482455101Z,157.66.96.46:42403,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T03:22:40.883144280Z,157.66.96.46:42403,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T03:39:36.374149568Z,157.66.96.46:48124,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T03:39:43.150908954Z,157.66.96.46:48124,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T03:41:34.313263206Z,157.66.96.46:56833,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T03:41:38.490820210Z,157.66.96.46:56833,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T03:47:58.425755190Z,103.9.0.229:53512,POST,/medicine_classify/,200
2025-06-02,2025-06-02T03:51:17.048539513Z,103.9.0.229:55694,POST,/medicine_classify/,200
2025-06-02,2025-06-02T03:51:51.056923365Z,103.9.0.229:56342,POST,/medicine_classify/,200
2025-06-02,2025-06-02T03:54:29.860481789Z,157.66.96.46:59114,POST,/medicine_classify_v2/,200
2025-06-02,2025-06-02T03:54:34.595282417Z,157.66.96.46:59114,POST,/classify_ngoaitru,200
2025-06-02,2025-06-02T05:17:35.632948299Z,157.66.96.46:57420,POST,/medicine_classify_v2/,200
